codigo,nombre,cronologia,medio,HP,HS,dieta,anatomia,modo_vida,medio_compuesto
001_01,j2,0059.2000-0041.2000,j4,100097147000000,090062000000000,j7,j8,001,002001001003
001_02,j2,0387.7000-0358.9000,j4,016009036203000,035030039000000,j7,j8,002,002002008001
001_03,j2,0259.5100-0252.1700,j4,124087221000000,090147000000000,j7,j8,001,001001001001
001_04,j2,0048.6000-0037.8000,j4,090147097222000,100221000000000,j7,j8,001,002001001003
001_05,j2,0367.9000-0359.3000,j4,062060061064084,090062061000000,j7,j8,004,001007001002
001_06,j2,0298.9000-0252.1700,j4,009036035031030,033034000000000,j7,j8,002,001003001001
001_07,j2,0013.8200-0005.3300,j4,115051219000000,147097000000000,j7,j8,001,001001002002
001_08,j2,0034.0000-0023.0300,j4,147099222000000,213215000000000,j7,j8,001,001001001002
001_09,j2,0150.8000-0145.0000,j4,051100177000000,097147219000000,j7,j8,003,002005004002
001_10,j2,002.5800-0000.0117,j4,062056084100000,053064147000000,j7,j8,005,002007001001
001_11,j2,0083.6000-0072.1000,j4,087222221000000,147120000000000,j7,j8,001,001001001002
001_12,j2,0002.5800-0000.0117,j4,053056062060084,064147000000000,j7,j8,005,001007001001
001_13,j2,0521.0000-0509.0000,j4,016036035203000,030031039000000,j7,j8,002,002002003002
001_14,j2,0201.3000-0194.7000,j4,084100062000000,053090147000000,j7,j8,005,002007001004
001_15,j2,0168.3000-0166.1000,j4,100147221000000,097213000000000,j7,j8,001,001001001001
002_01,j2,0168.3000-0163.5000,j4,100147097000000,221222000000000,j7,j8,001,002001001003
002_02,j2,0298.9000-0272.3000,j4,062056053084060,064061090000000,j7,j8,004,001007001002
002_03,j2,0521.0000-0518.0000,j4,018036009038000,016203035000000,j7,j8,002,001002003002
002_04,j2,0443.8000-0419.2000,j4,009035036031000,030033034000000,j7,j8,002,002003001001
002_05,j2,0157.3000-0145.0000,j4,100084062000000,053097177000000,j7,j8,003,002005004002
002_06,j2,0020.4400-0005.3300,j4,097223221000000,062147100000000,j7,j8,001,001001001002
002_07,j2,0166.1000-0145.0000,j4,100097147000000,084177000000000,j7,j8,001,002001002002
002_08,j2,0509.0000-0497.0000,j4,031035036016000,030009203000000,j7,j8,002,002002008001
002_09,j2,0295.0000-0272.3000,j4,090084062124000,060064147000000,j7,j8,001,001001001001
002_10,j2,0247.2000-0237.0000,j4,010007000000000,011008000000000,j7,j8,005,002007001003
002_11,j2,0094.0000-0089.8000,j4,145114115147000,110113000000000,j7,j8,001,002001002003
002_12,j2,0059.2000-0056.0000,j4,020097000000000,147019000000000,j7,j8,001,002001001003
002_13,j2,0227.0000-0208.5000,j4,125025000000000,147097000000000,j7,j8,001,001001001002
002_14,j2,0410.8000-0393.3000,j4,006002000000000,005001000000000,j7,j8,002,002003001001
002_15,j2,0521.0000-0201.3000,j4,001002000000000,004005000000000,j7,j8,002,002002008001
003_01,j2,0023.0300-0005.3300,j4,020147000000000,223097000000000,j7,j8,001,001006004002
003_02,j2,0382.7000-0358.9000,j4,011013000000000,017015000000000,j7,j8,002,002003001001
003_03,j2,0247.2000-0242.0000,j4,090084019124000,018062147000000,j7,j8,001,002001001003
003_04,j2,0083.6000-0072.1000,j4,019090100147000,097221000000000,j7,j8,001,001001001002
003_05,j2,0521.0000-0509.0000,j4,016036035203038,009030039000000,j7,j8,002,002002008003
003_06,j2,0375.0000-0374.0000,j4,053027061060084,062090019000000,j7,j8,004,001007001002
003_07,j2,0125.0000-0113.0000,j4,056057025019000,027018191000000,j7,j8,003,002005004002
003_08,j2,0009.0000-0003.3000,j4,097223147000000,221100090000000,j7,j8,001,002001001004
003_09,j2,0382.7000-0323.2000,j4,018009036203038,035030039000000,j7,j8,002,002002008003
003_10,j2,0259.5100-0252.1700,j4,087221222000000,090124147000000,j7,j8,001,002001001003
003_11,j2,0331.0000-0323.2000,j4,060062056053084,064061090000000,j7,j8,004,001007001002
003_12,j2,0290.1000-0252.1700,j4,001009036002000,003038203000000,j7,j8,002,002002008003
003_13,j2,002.5800-0000.0117,j4,223097062147000,221100090000000,j7,j8,001,001006004002
003_14,j2,0295.0000-0272.3000,j4,087084124090000,062060064000000,j7,j8,004,001007001004
003_15,j2,0041.3000-0015.9700,j4,097222221000000,147100090000000,j7,j8,001,002001001003
004_01,j2,0419.2000-0358.9000,j4,018009036203038,035030039000000,j7,j8,002,002002003002
004_02,j2,0307.0000-0290.1000,j4,100062063255000,084060000000000,j7,j8,001,002004002001
004_03,j2,0508.0000-0505.0000,j4,031035202036000,030009016000000,j7,j8,001,002001002001
004_04,j2,002.5800-0000.0117,j4,218220147000000,221097100000000,j7,j8,001,001001001001
004_05,j2,0458.4000-0443.8000,j4,018036009038000,016203035000000,j7,j8,002,002002003001
004_06,j2,0129.4000-0123.0000,j4,090100212147000,084097221000000,j7,j8,001,001001001002
004_07,j2,0307.0000-0300.9000,j4,022018036203000,025009035000000,j7,j8,002,002002003003
004_08,j2,0299.0000-0272.3000,j4,222100221000000,087147090000000,j7,j8,001,001001001001
004_09,j2,0295.0000-0272.3000,j4,060053062084064,061090124000000,j7,j8,004,001007001002
004_10,j2,0299.0000-0272.3000,j4,087090084000000,062060124000000,j7,j8,004,001007001002
004_11,j2,0508.0000-0505.0000,j4,001018203038000,016036009000000,j7,j8,002,002002003002
004_12,j2,0330.9000-0298.9000,j4,100060062063000,255254084000000,j7,j8,001,001001002001
004_13,j2,0157.3000-0145.0000,j4,019025017018000,036203177000000,j7,j8,003,002005004002
004_14,j2,0073.2000-0070.6000,j4,017018036203000,009038016000000,j7,j8,002,002002003003
004_15,j2,002.5800-0000.0460,j4,097223062000000,221100084000000,j7,j8,001,001001001002
005_01,j2,0259.5100-0252.1700,j4,147220100000000,222255097000000,j7,j8,001,001006004002
005_02,j2,0508.0000-0505.0000,j4,031035202036000,030009016000000,j7,j8,002,002002003002
005_03,j2,0419.2000-0393.3000,j4,018009036038000,035203030000000,j7,j8,002,002002003001
005_04,j2,0247.2000-0242.0000,j4,087084090000000,062124147000000,j7,j8,001,002001001003
005_05,j2,0335.0000-0323.2000,j4,060062056053000,064061084000000,j7,j8,004,001007001003
005_06,j2,0237.0000-0227.0000,j4,100147255000000,062254084000000,j7,j8,001,002006004002
005_07,j2,0165.0000-0155.7000,j4,100147255000000,177254097000000,j7,j8,003,002005004002
005_08,j2,0070.6000-0066.0000,j4,090062060084000,053064097000000,j7,j8,005,001007001002
005_09,j2,0056.0000-0037.2000,j4,215090062000000,097221084000000,j7,j8,001,001001001002
005_10,j2,0295.0000-0272.3000,j4,087084053000000,090062124000000,j7,j8,001,002001001004
005_11,j2,0070.6000-0066.0000,j4,214062100000000,060084097000000,j7,j8,004,001007001004
005_12,j2,0247.2000-0242.0000,j4,019025036000000,018009203000000,j7,j8,002,002002003002
005_13,j2,0023.0300-0015.9700,j4,100090062000000,084097221000000,j7,j8,001,001001001002
005_14,j2,0315.2000-0299.0000,j4,053057062000000,060084064000000,j7,j8,004,001007001002
005_15,j2,0237.0000-0227.0000,j4,100147255000000,097254084000000,j7,j8,003,002006004002
