codigo,nombre,MV,SM_L_ES_C
001_01,Gastornis,001,002001001003
001_02,Goniatites,002,002002008002
001_03,Aulacephalodon,001,001001001001
001_04,Andrewsarchus,001,003001001003
001_05,Ichthyostega,004,001007001002
001_06,Ditomopyge,002,001003001002
001_07,Deinogalerix,001,001001001002
001_08,Indricotherium,001,001001001006
001_09,Archaeopteryx,003,002006005002
001_10,Castoroides,005,001007001001
001_11,Graciliceratops,001,001001001002
001_12,Hippopotamus,005,001007001001
001_13,Nectocaris,002,002002008003
001_14,Protosuchus,005,002007001004
001_15,Spicomellus,001,001001001001
002_01,Gasosaurus,001,003001001003
002_02,Diplocaulus,004,001007001002
002_03,Haikouichthys,002,001002008002
002_04,Thyestes verrucosus,002,002003001002
002_05,Sordes,003,002005001002
002_06,Deinotherium,001,001001001006
002_07,Priacodon,001,002001002002
002_08,Eldonia,002,001002008002
002_09,Diadectes,001,001001001002
002_10,Tanystropheus,005,002007001004
002_11,Buitreraptor,001,003001001003
002_12,Titanoides,001,003001001003
002_13,Plateosaurus,001,001001001002
002_14,Mimetaster,002,002003001002
002_15,Conodonto,002,002002008002
003_01,Chalicotherium,001,002006005002
003_02,Bothriolepis,002,001003001001
003_03,Ticinosuchus,001,003001001003
003_04,Kritosaurus,001,001001001002
003_05,Anomalocaris,002,003002008003
003_06,Tiktaalik,004,001007001002
003_07,Pterodaustro,003,002005001002
003_08,Thylacosmilus,001,002001001004
003_09,Stethacanthus,002,003002008003
003_10,Lycaenops,001,003001001003
003_11,Greererpeton,004,001007001002
003_12,Helicoprion,002,003002008003
003_13,Megatherium,001,001001001002
003_14,Cacops aspidephorus,004,001007001004
003_15,Hyaenodon,001,003001001003
004_01,Rolfosteus,002,001003001001
004_02,Phlegethontia,001,002004006002
004_03,Hallucigenia,002,002003001002
004_04,Colossochelys,001,001001001001
004_05,Sacabambaspis,002,001003001001
004_06,Mierasaurus,001,001001001001
004_07,Tullimonstrum,002,003002008003
004_08,Edaphosaurus,001,001001001002
004_09,Eryops,004,001007001004
004_10,Seymouria,004,001007001002
004_11,Odaraia,002,003002008003
004_12,Arthropleura,001,001001001002
004_13,Rhamphorhynchus,003,002005001002
004_14,Albertonectes,002,003002008003
004_15,Diprotodon,001,001001001001
005_01,Suminia,001,002006005002
005_02,Opabinia,002,002002008002
005_03,Rhinopteraspis,002,001003001001
005_04,Euparkeria,001,003001001003
005_05,Crassigyrinus,004,001007001004
005_06,Drepanosaurus,001,002006005002
005_07,Epidexipteryx,003,002006005002
005_08,Deinocheirus,005,001007001002
005_09,Uintatherium,001,001001001001
005_10,Dimetrodon,001,003001001004
005_11,Beelzebufo,004,001007001004
005_12,Atopodentatus,002,002003001002
005_13,Astrapotherium,001,001001001001
005_14,Iberospondylus,004,001007001002
005_15,Longisquama,003,002006001002
