codigo,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11
001_01,73,86,42,55,81,67,54,62,94,68,71
001_02,84,57,34,92,26,43,65,87,46,51,38
001_03,64,82,58,63,69,74,57,66,78,47,53
001_04,72,95,24,37,100,76,74,61,100,85,79
001_05,83,68,46,71,49,52,64,86,58,63,57
001_06,81,54,41,86,27,59,62,84,35,56,29
001_07,76,63,38,65,53,56,71,73,52,78,64
001_08,67,100,54,35,46,91,42,58,100,39,52
001_09,85,49,57,74,42,36,92,71,27,86,68
001_10,82,84,69,56,43,73,51,85,74,48,65
001_11,75,58,67,72,46,54,76,74,34,71,59
001_12,87,93,84,68,76,82,57,86,89,45,63
001_13,86,46,53,84,48,37,85,82,25,73,56
001_14,83,76,36,74,64,61,78,85,38,72,51
001_15,68,94,47,58,57,100,43,52,76,36,45
002_01,67,85,36,54,82,64,73,57,76,74,52
002_02,86,63,47,84,35,71,58,82,46,42,49
002_03,82,45,67,94,23,34,87,84,18,76,43
002_04,73,68,42,75,47,58,61,72,27,56,34
002_05,87,52,54,73,43,46,96,86,26,83,69
002_06,74,100,63,48,76,85,57,64,95,46,62
002_07,84,68,43,67,56,54,83,87,37,86,74
002_08,92,43,65,94,14,37,68,92,24,53,26
002_09,76,84,57,65,52,73,56,74,78,42,58
002_10,73,62,34,64,68,57,72,76,65,67,53
002_11,86,54,68,64,63,47,95,73,34,94,87
002_12,71,86,58,52,67,73,54,64,75,43,56
002_13,84,87,76,63,68,74,65,86,84,67,63
002_14,86,53,57,84,43,54,76,82,24,65,48
002_15,93,56,43,91,34,37,85,94,17,76,35
003_01,74,86,57,52,56,83,54,64,93,46,68
003_02,82,67,54,86,34,72,58,83,36,43,35
003_03,73,75,37,64,76,68,84,62,57,73,54
003_04,85,73,86,67,42,65,64,82,76,57,53
003_05,94,57,46,86,92,34,84,93,57,85,56
003_06,95,63,43,74,46,58,76,94,53,67,64
003_07,84,56,67,72,35,42,93,82,36,85,63
003_08,76,74,35,43,94,63,87,65,67,86,76
003_09,84,54,43,83,57,36,86,84,34,75,48
003_10,74,76,56,54,83,67,73,63,57,74,79
003_11,83,68,47,86,34,58,72,84,43,56,47
003_12,86,84,35,73,93,46,85,76,74,73,56
003_13,72,100,46,43,67,94,34,62,100,25,68
003_14,83,74,43,72,56,86,52,73,36,48,42
003_15,85,92,34,42,100,76,84,73,87,76,86
004_01,73,67,46,74,57,63,86,72,45,76,42
004_02,85,54,34,73,37,46,74,86,35,62,57
004_03,93,42,57,94,46,53,67,92,16,45,37
004_04,64,100,56,43,35,100,36,58,100,24,46
004_05,83,57,68,92,24,42,64,86,26,54,35
004_06,72,84,67,53,42,86,45,64,87,36,57
004_07,85,43,34,84,56,35,73,94,24,65,53
004_08,74,86,53,65,34,73,56,76,74,43,52
004_09,83,82,46,74,73,76,54,86,76,45,57
004_10,82,64,43,75,46,56,65,83,37,53,68
004_11,84,56,42,85,54,47,86,83,35,74,43
004_12,86,100,57,74,53,93,43,73,94,35,46
004_13,83,54,68,72,47,36,100,86,34,92,65
004_14,72,86,53,56,67,73,57,74,100,42,58
004_15,85,100,76,42,53,92,45,74,100,36,64
005_01,83,67,56,73,46,57,84,82,35,76,68
005_02,94,43,46,86,53,36,83,94,17,72,54
005_03,86,54,57,84,24,67,65,82,36,53,35
005_04,85,63,57,73,54,52,86,84,34,84,76
005_05,84,72,36,74,73,57,65,86,58,54,43
005_06,83,56,34,65,57,43,84,73,24,72,68
005_07,74,43,57,64,35,37,94,72,26,84,73
005_08,86,92,74,53,67,73,56,83,100,46,86
005_09,73,94,54,42,76,83,43,67,85,34,57
005_10,84,83,34,57,92,63,64,74,76,65,73
005_11,86,72,34,83,63,67,53,84,46,42,43
005_12,93,64,57,74,24,53,65,92,56,53,46
005_13,73,84,67,43,64,73,56,73,86,45,57
005_14,85,67,43,74,46,58,64,83,34,56,42
005_15,82,43,46,63,35,37,94,83,24,85,64






