j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11
001_01,j2,0059.2000-0041.2000,j4,100097147000000,090062000000000,j7,j8,001,002001001003,60,30,65,40,65,40,55,50,55,60,45
001_02,j2,0387.7000-0358.9000,j4,016009036203000,035030039000000,j7,j8,002,002002008001,40,50,20,85,15,50,30,40,10,20,10
001_03,j2,0259.5100-0252.1700,j4,124087221000000,090147000000000,j7,j8,001,001001001001,50,40,60,50,35,50,35,50,45,30,25
001_04,j2,0048.6000-0037.8000,j4,090147097222000,100221000000000,j7,j8,001,002001001003,65,30,70,35,80,50,50,60,70,55,55
001_05,j2,0367.9000-0359.3000,j4,062060061064084,090062061000000,j7,j8,004,001007001002,40,20,45,75,25,30,25,45,25,20,15
001_06,j2,0298.9000-0252.1700,j4,009036035031030,033034000000000,j7,j8,002,001003001001,55,60,15,90,10,50,25,60,10,20,10
001_07,j2,0013.8200-0005.3300,j4,115051219000000,147097000000000,j7,j8,001,001001002002,55,20,35,60,30,30,45,50,15,40,40
001_08,j2,0034.0000-0023.0300,j4,147099222000000,213215000000000,j7,j8,001,001001001002,50,40,80,25,65,70,35,45,90,40,50
001_09,j2,0150.8000-0145.0000,j4,051100177000000,097147219000000,j7,j8,003,002005004002,45,30,30,55,20,15,75,40,12,70,35
001_10,j2,0002.5800-0000.0117,j4,062056084100000,053064147000000,j7,j8,005,002007001001,60,50,50,55,35,40,45,55,35,45,45
001_11,j2,0083.6000-0072.1000,j4,087222221000000,147120000000000,j7,j8,001,001001001002,55,60,45,65,30,35,60,55,25,65,30
001_12,j2,0002.5800-0000.0117,j4,053056062060084,064147000000000,j7,j8,005,001007001001,45,40,60,45,55,60,35,40,45,40,45
001_13,j2,0521.0000-0509.0000,j4,016036035203000,030031039000000,j7,j8,002,002002003002,40,40,15,85,15,10,60,45,10,50,15
001_14,j2,0201.3000-0194.7000,j4,084100062000000,053090147000000,j7,j8,005,002007001004,65,20,55,50,50,55,50,60,30,50,30
001_15,j2,0168.3000-0166.1000,j4,100147221000000,097213000000000,j7,j8,001,001001001001,45,30,65,45,40,80,25,40,45,20,20
002_01,j2,0168.3000-0163.5000,j4,100147097000000,221222000000000,j7,j8,001,002001001003,55,30,50,45,60,40,60,50,40,65,35
002_02,j2,0298.9000-0272.3000,j4,062056053084060,064061090000000,j7,j8,004,001007001002,40,25,35,65,25,20,35,45,20,25,15
002_03,j2,0521.0000-0518.0000,j4,018036009038000,016203035000000,j7,j8,002,001002003002,30,40,15,80,10,10,40,35,10,35,10
002_04,j2,0443.8000-0419.2000,j4,009035036031000,030033034000000,j7,j8,002,002003001001,35,45,20,75,15,20,35,40,12,30,12
002_05,j2,0157.3000-0145.0000,j4,100084062000000,053097177000000,j7,j8,003,002005004002,45,40,25,60,25,15,65,45,15,65,30
002_06,j2,0020.4400-0005.3300,j4,097223221000000,062147100000000,j7,j8,001,001001001002,50,45,75,25,55,65,35,45,85,35,45
002_07,j2,0166.1000-0145.0000,j4,100097147000000,084177000000000,j7,j8,001,002001002002,45,30,25,65,20,15,55,50,12,50,35
002_08,j2,0509.0000-0497.0000,j4,031035036016000,030009203000000,j7,j8,002,002002008001,35,45,15,85,10,15,35,40,10,30,10
002_09,j2,0295.0000-0272.3000,j4,090084062124000,060064147000000,j7,j8,001,001001001001,55,30,50,55,40,45,40,55,45,35,25
002_10,j2,0247.2000-0237.0000,j4,010007000000000,011008000000000,j7,j8,005,002007001003,50,20,40,60,45,30,40,50,45,35,25
002_11,j2,0094.0000-0089.8000,j4,145114115147000,110113000000000,j7,j8,001,002001002003,60,45,45,40,65,25,80,50,25,85,55
002_12,j2,0059.2000-0056.0000,j4,020097000000000,147019000000000,j7,j8,001,002001001003,55,35,60,40,55,50,45,50,60,40,40
002_13,j2,0227.0000-0208.5000,j4,125025000000000,147097000000000,j7,j8,001,001001001002,60,45,70,45,45,60,35,55,75,30,35
